SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	89717	72220
1	1101	352622	343140
2	1101	218708	212815
3	1101	466034	452312
4	1101	327429	318534
5	1101	236856	230394
6	1101	294101	285365
7	1101	289551	280994
8	1101	148651	144572
0	1102	89392	71548
1	1102	355014	345129
2	1102	220256	214162
3	1102	466010	451920
4	1102	327046	318024
5	1102	236995	230403
6	1102	295252	286506
7	1102	290508	281833
8	1102	149445	145289
0	1103	87748	69479
1	1103	355331	345634
2	1103	221490	215298
3	1103	470336	456095
4	1103	328966	319803
5	1103	239498	232735
6	1103	296039	287041
7	1103	292009	283159
8	1103	149720	145527
0	1104	88162	69564
1	1104	359817	350144
2	1104	223135	217212
3	1104	474291	459925
4	1104	332147	322926
5	1104	241936	235218
6	1104	298660	289749
7	1104	295345	286578
8	1104	150632	146436
0	1105	87211	67978
1	1105	362806	352268
2	1105	224803	218288
3	1105	476715	461614
4	1105	334060	324351
5	1105	242505	235495
6	1105	299954	290621
7	1105	297295	287907
8	1105	152601	148005
0	1106	87540	68191
1	1106	366342	355989
2	1106	227433	220897
3	1106	481567	466480
4	1106	338215	328601
5	1106	245209	237993
6	1106	303909	294440
7	1106	300438	291120
8	1106	153914	149453
0	1107	87409	67462
1	1107	370196	359289
2	1107	229412	222772
3	1107	488291	472273
4	1107	340899	330896
5	1107	248296	240939
6	1107	306578	296710
7	1107	303680	293841
8	1107	155977	151366
0	1108	87488	67349
1	1108	373783	361905
2	1108	231517	224176
3	1108	492275	474862
4	1108	345989	335176
5	1108	250917	243023
6	1108	309754	299101
7	1108	308051	297375
8	1108	157602	152695
0	1109	89517	68084
1	1109	379905	367959
2	1109	235353	227944
3	1109	500310	482889
4	1109	350000	339127
5	1109	254585	246659
6	1109	313507	302590
7	1109	311993	301231
8	1109	159686	154699
0	1110	92305	69609
1	1110	385953	373718
2	1110	240435	232755
3	1110	506812	488902
4	1110	356842	345644
5	1110	258538	250267
6	1110	319642	308587
7	1110	317131	306047
8	1110	161804	156656
0	1111	92110	69358
1	1111	392406	379081
2	1111	243944	235700
3	1111	515777	496868
4	1111	362049	349982
5	1111	262797	254182
6	1111	322575	310869
7	1111	321612	309860
8	1111	164712	159258
0	1112	94311	70190
1	1112	400005	386222
2	1112	248562	239762
3	1112	524279	504297
4	1112	368215	355318
5	1112	268382	259055
6	1112	329451	317085
7	1112	327247	315007
8	1112	167497	161633
0	1113	95537	70689
1	1113	408819	393932
2	1113	253464	244266
3	1113	532988	511831
4	1113	374988	361436
5	1113	273001	263036
6	1113	335783	322618
7	1113	333526	320235
8	1113	171059	164786
0	1114	98402	72451
1	1114	417604	402165
2	1114	258751	248828
3	1114	547856	524953
4	1114	384109	369707
